>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1VJ1_A mol:protein-het length:363     Putative Nadph-Dependent Oxidoreductase
>PDB:1VJ2_A mol:protein length:126     Novel Manganese-Containing Cupin Tm1459
>PDB:1VJ0_A mol:protein length:380     Alcohol Dehydrogenase, Zinc-Containing
>PDB:1VJG_A mol:protein-het length:218     Putative Lipase From The G-D-S-L Family
>PDB:1VJH_A mol:protein-het length:122     Bet V I Allergen Family
>PDB:1VJL_A mol:protein-het length:164     Hypothetical Protein Tm0160
>PDB:1VJN_A mol:protein-het length:220     Zn-Dependent Hydrolase Of Metallo-Beta-L
>PDB:1VJO_A mol:protein-het length:393     Alanine--Glyoxylate Aminotransferase
>PDB:1VJP_A mol:protein length:394     Myo-Inositol-1-Phosphate Synthase-Related Pr
>PDB:1VJQ_A mol:protein-het length:79     Designed Protein
>PDB:1VJR_A mol:protein-het length:271     4-Nitrophenylphosphatase
>PDB:1VJT_A mol:protein-het length:483     Alpha-Glucosidase
>PDB:1VJX_A mol:protein-het length:157     Putative Ferritin-Like Diiron-Carboxylat
>PDB:1VJZ_A mol:protein-het length:341     Endoglucanase
>PDB:1VJ5_A mol:protein length:555     Epoxide Hydrolase 2, Cytoplasmic
>PDB:1VJ7_A mol:protein length:393     Bifunctional Rela/Spot
>PDB:1VJK_A mol:protein length:98     Molybdopterin Converting Factor, Subunit 1
>PDB:1VJV_A mol:protein-het length:415     Ubiquitin Carboxyl-Terminal Hydrolase 6
>PDB:1VK0_A mol:protein-het length:206     Hypothetical Protein
>PDB:1VK4_A mol:protein-het length:298     Pfkb Carbohydrate Kinase Tm0415
>PDB:1VK3_A mol:protein-het length:615     Phosphoribosylformylglycinamidine Syntha
>PDB:1VK6_A mol:protein-het length:269     Nadh Pyrophosphatase
>PDB:1VK5_A mol:protein length:157     Expressed Protein
>PDB:1VK8_A mol:protein-het length:106     Hypothetical Protein Tm0486
>PDB:1VK9_A mol:protein-het length:151     Conserved Hypothetical Protein Tm1506
>PDB:1VKB_A mol:protein length:161     Hypothetical Protein
>PDB:1VKD_A mol:protein-het length:338     Conserved Hypothetical Protein Tm1225
>PDB:1VKF_A mol:protein-het length:188     Glycerol Uptake Operon Antiterminator-Re
>PDB:1VKJ_A mol:protein length:285     Heparan Sulfate (Glucosamine) 3-O- Sulfotran
>PDB:1VKH_A mol:protein-het length:273     Putative Serine Hydrolase
>PDB:1VKI_A mol:protein length:181     Hypothetical Protein Atu3699
>PDB:1VKN_A mol:protein-het length:351     N-Acetyl-Gamma-Glutamyl-Phosphate Reduct
>PDB:1VKM_A mol:protein-het length:297     Conserved Hypothetical Protein Tm1464
>PDB:1VKA_A mol:protein length:153     Microtubule-Associated Protein Rp/Eb Family
>PDB:1VKG_A mol:protein length:377     Histone Deacetylase 8
>PDB:1VK1_A mol:protein-het length:242     Conserved Hypothetical Protein
>PDB:1VKV_A mol:protein-het length:351     Expressed Protein
>PDB:1VKK_A mol:protein length:154     Glia Maturation Factor Gamma
>PDB:1VKO_A mol:protein length:537     Inositol-3-Phosphate Synthase
>PDB:1VKP_A mol:protein-het length:383     Agmatine Iminohydrolase
>PDB:1VKU_A mol:protein-het length:100     Acyl Carrier Protein
>PDB:1VKY_A mol:protein length:347     S-Adenosylmethionine: tRNA Ribosyltransferas
>PDB:1VKZ_A mol:protein-het length:412     Phosphoribosylamine--Glycine Ligase
>PDB:1VKR_A mol:protein length:125     Mannitol-Specific Pts System Enzyme Iiabc Co
>PDB:1VKW_A mol:protein-het length:218     Putative Nitroreductase
>PDB:1VL3_A mol:protein-het length:11     Glu-Ser-Gln-Leu-His-Ser-Asn-Lys-Arg
>PDB:1VL0_A mol:protein-het length:292     Dtdp-4-Dehydrorhamnose Reductase, Rfbd O
>PDB:1VL2_A mol:protein length:421     Argininosuccinate Synthase
>PDB:1VL5_A mol:protein-het length:260     Unknown Conserved Protein Bh2331
>PDB:1VL6_A mol:protein-het length:388     Malate Oxidoreductase
>PDB:1VL7_A mol:protein length:157     Hypothetical Protein Alr5027
>PDB:1VL8_A mol:protein length:267     Gluconate 5-Dehydrogenase
>PDB:1VLA_A mol:protein-het length:150     Hydroperoxide Resistance Protein Osmc
>PDB:1VLG_A mol:protein length:176     Ferritin
>PDB:1VLH_A mol:protein length:173     Phosphopantetheine Adenylyltransferase
>PDB:1VLJ_A mol:protein length:407     Nadh-Dependent Butanol Dehydrogenase
>PDB:1VLM_A mol:protein-het length:219     Sam-Dependent Methyltransferase
>PDB:1VLP_A mol:protein-het length:441     Nicotinate Phosphoribosyltransferase
>PDB:1VLQ_A mol:protein-het length:337     Acetyl Xylan Esterase
>PDB:1VLR_A mol:protein length:350     Mrna Decapping Enzyme
>PDB:1VLU_A mol:protein-het length:468     Gamma-Glutamyl Phosphate Reductase
>PDB:1VLW_A mol:protein length:217     2-Dehydro-3-Deoxyphosphogluconate Aldolase/4
>PDB:1VLY_A mol:protein-het length:338     Unknown Protein From 2D-Page
>PDB:1VL4_A mol:protein length:447     Pmba-Related Protein
>PDB:1VLI_A mol:protein-het length:385     Spore Coat Polysaccharide Biosynthesis P
>PDB:1VLL_A mol:protein length:334     Ornithine Cyclodeaminase
>PDB:1VLO_A mol:protein-het length:381     Aminomethyltransferase
>PDB:1VLV_A mol:protein length:325     Ornithine Carbamoyltransferase
>PDB:1VMO_A mol:protein length:163     Vitelline Membrane Outer Layer Protein I - C
>PDB:1VM0_A mol:protein-het length:130     Unknown Protein
>PDB:1VM6_A mol:protein length:228     Dihydrodipicolinate Reductase
>PDB:1VM7_A mol:protein length:311     Ribokinase
>PDB:1VMA_A mol:protein length:306     Cell Division Protein Ftsy
>PDB:1VMD_A mol:protein length:178     Methylglyoxal Synthase
>PDB:1VME_A mol:protein-het length:410     Flavoprotein
>PDB:1VM8_A mol:protein-het length:534     Udp-N-Acteylglucosamine Pyrophosphorylas
>PDB:1VMB_A mol:protein length:140     30S Ribosomal Protein S6
>PDB:1VMF_A mol:protein length:145     Hypothetical Protein
>PDB:1VMG_A mol:protein-het length:95     Hypothetical Protein Sso3215
>PDB:1VMI_A mol:protein-het length:355     Putative Phosphate Acetyltransferase
>PDB:1VMJ_A mol:protein length:151     Hypothetical Protein Tm0723
>PDB:1VP3_  mol:protein length:348     Vp39
>PDB:1VPP_X mol:protein length:20     Peptide V108
>PDB:1VPU_  mol:protein length:45     Vpu Protein
>PDB:1VSG_A mol:protein length:364     Variant Surface Glycoprotein (N-Terminal Dom
>PDB:2VSG_A mol:protein length:358     Variant Surface Glycoprotein Iltat 1.24
>PDB:1VTP_  mol:protein length:26     Vacuolar Targeting Peptide
>PDB:1VUB_A mol:protein length:101     Ccdb
>PDB:1VZO_A mol:protein length:355     Ribosomal Protein S6 Kinase Alpha 5
>PDB:1VZ0_A mol:protein length:230     Chromosome Partitioning Protein Parb
>PDB:1VZG_A mol:protein length:126     Desulfoferrodoxin
>PDB:1VZS_A mol:protein length:76     ATP Synthase Coupling Factor 6, Mitochondrial
>PDB:1VZ6_A mol:protein length:393     Ornithine Acetyl-Transferase
>PDB:1VZY_A mol:protein length:291     33 Kda Chaperonin
>PDB:1WAP_A mol:protein length:75     Trp RNA-Binding Attenuation Protein Complexed
>PDB:1WBA_  mol:protein length:175     Winged Bean Albumin 1
>PDB:1WCT_  mol:protein-het length:13     Omegac-Txix
>PDB:1WDF_A mol:protein length:95     E2 Glycoprotein
>PDB:1WD8_A mol:protein length:670     Protein-Arginine Deiminase Type IV
>PDB:1WD2_A mol:protein length:60     Ariadne-1 Protein Homolog
>PDB:1WDK_A mol:protein length:715     Fatty Oxidation Complex Alpha Subunit
>PDB:1WDU_A mol:protein length:245     Tras1 Orf2P
>PDB:1WD3_A mol:protein length:482     Alpha-L-Arabinofuranosidase B
>PDB:1WDY_A mol:protein length:285     2-5A-Dependent Ribonuclease
>PDB:1WER_  mol:protein length:334     P120Gap
>PDB:1WE3_O mol:protein length:100     Cpn10(Groes)
>PDB:1WIO_A mol:protein length:363     T-Cell Surface Glycoprotein Cd4
>PDB:1WIT_  mol:protein length:93     Twitchin 18Th Igsf Module
>PDB:1WKT_  mol:protein length:88     Yeast Killer Toxin
>PDB:1WKR_A mol:protein length:340     Polyporopepsin
>PDB:1WLQ_C mol:protein-het length:201     Cdt1 Protein
>PDB:1WLF_A mol:protein length:179     Peroxisome Biogenesis Factor 1
>PDB:1WLH_A mol:protein length:311     Gelation Factor
>PDB:1WOG_A mol:protein length:305     Agmatinase
>PDB:1WOO_A mol:protein length:364     Aminomethyltransferase
>PDB:1WOT_A mol:protein length:98     Putative Minimal Nucleotidyltransferase
>PDB:1WOQ_A mol:protein length:267     Inorganic Polyphosphate/ATP-Glucomannokinase
>PDB:1WPW_A mol:protein length:336     3-Isopropylmalate Dehydrogenase
>PDB:1WP5_A mol:protein-het length:323     Topoisomerase IV
>PDB:1WWC_A mol:protein length:118     Nt-3 Growth Factor Receptor Trkc
>PDB:1XAT_  mol:protein length:212     Xenobiotic Acetyltransferase
>PDB:1XAK_A mol:protein length:83     Sars Orf7A Accessory Protein
>PDB:1XAU_A mol:protein length:122     B- and T-Lymphocyte Attenuator
>PDB:1XBL_  mol:protein length:107     Dnaj
>PDB:1XBN_A mol:protein length:195     Methyl-Accepting Chemotaxis Protein
>PDB:1XB7_A mol:protein length:247     Steroid Hormone Receptor Err1
>PDB:1XB7_P mol:protein length:12     Peroxisome Proliferator Activated Receptor Ga
>PDB:1XC0_A mol:protein length:33     Pardaxin P-4
>PDB:1XCB_A mol:protein-het length:211     Redox-Sensing Transcriptional Repressor
>PDB:1XC3_A mol:protein length:302     Putative Fructokinase
>PDB:1XDT_R mol:protein length:79     Heparin-Binding Epidermal Growth Factor
>PDB:1XD7_A mol:protein length:145     Ywna
>PDB:1XDQ_A mol:protein length:298     Bacterial Sulfite Oxidase
>PDB:1XER_  mol:protein-het length:103     Ferredoxin
>PDB:1XE1_A mol:protein-het length:116     Hypothetical Protein Pf0907
>PDB:1XEA_A mol:protein-het length:323     Oxidoreductase, Gfo/Idh/Moca Family
>PDB:1XGM_A mol:protein length:295     Methionine Aminopeptidase
>PDB:1XG5_A mol:protein length:279     Arpg836
>PDB:1XI3_A mol:protein length:215     Thiamine Phosphate Pyrophosphorylase
>PDB:1XI7_A mol:protein length:61     Cysteine-Rich Omega-Conotoxin Homolog Vhv1.1
>PDB:1XIO_A mol:protein length:261     Anabaena Sensory Rhodopsin
>PDB:1XJ5_A mol:protein-het length:334     Spermidine Synthase 1
>PDB:1XJA_A mol:protein length:178     Arabinose Operon Regulatory Protein
>PDB:1XNA_A mol:protein length:183     DNA-Repair Protein Xrcc1
>PDB:1XO4_A mol:protein length:103     Proposed Acetyl Transferase
>PDB:1XOY_A mol:protein length:161     Hypothetical Protein At3G04780.1
>PDB:1XPA_  mol:protein length:122     Xpa
>PDB:1XXA_A mol:protein length:78     Arginine Repressor
>PDB:1XYZ_A mol:protein length:347     1,4-Beta-D-Xylan-Xylanohydrolase
>PDB:1YAC_A mol:protein length:208     Ycac Gene Product
>PDB:1YCR_A mol:protein length:109     Mdm2
>PDB:1YCS_B mol:protein length:239     53Bp2
>PDB:1YEA_  mol:protein length:112     Cytochrome C (Iso-2, Reduced State) - Chain
>PDB:1YFM_  mol:protein length:488     Fumarase
>PDB:1YGP_A mol:protein length:879     Yeast Glycogen Phosphorylase
>PDB:3YGS_P mol:protein length:97     Procaspase 9
>PDB:1YUA_  mol:protein length:122     Topoisomerase I
>PDB:1YUB_  mol:protein length:245     Rrna Methyltransferase
>PDB:1YUI_A mol:protein length:54     Gaga-Factor
>PDB:1ZAK_A mol:protein length:222     Adenylate Kinase
>PDB:1ZBD_B mol:protein-het length:134     Rabphilin-3A
>PDB:1ZFD_  mol:protein length:32     Swi5
>PDB:1ZFJ_A mol:protein-het length:491     Inosine Monophosphate Dehydrogenase
>PDB:1ZNC_A mol:protein length:266     Carbonic Anhydrase IV
>PDB:1ZPD_A mol:protein length:568     Pyruvate Decarboxylase
>PDB:1ZXQ_  mol:protein length:192     Intercellular Adhesion Molecule-2
>PDB:1IW4_A mol:protein length:55     Trypsin Inhibitor
>PDB:1IWC_A mol:protein length:34     Gastric H/K-Atpase
>PDB:1IWG_A mol:protein length:1053     Acrb
>PDB:1IW1_A mol:protein length:215     Heme Oxygenase
>PDB:1IWQ_B mol:protein length:19     Marcks
>PDB:1IWM_A mol:protein length:186     Outer Membrane Lipoprotein Lolb
>PDB:1M0T_A mol:protein length:491     Glutathione Synthetase
>PDB:1M02_A mol:protein length:12     His-Pro-Leu-Lys-Gln-Tyr-Trp-Trp-Arg-Pro-Ser-I
>PDB:1M0K_A mol:protein length:262     Bacteriorhodopsin
>PDB:1M0U_A mol:protein length:249     Gst2 Gene Product
>PDB:1M0J_A mol:protein length:28     Metallothionein Mt_Nc
>PDB:1M1M_A mol:protein length:355     3-Oxoacyl-[Acyl-Carrier-Protein] Synthase II
>PDB:1M1R_A mol:protein length:91     Small Tetraheme Cytochrome C
>PDB:1M1C_A mol:protein length:680     Major Coat Protein
>PDB:1M1E_B mol:protein length:81     Icat
>PDB:1M1F_A mol:protein length:110     Kid Toxin Protein
>PDB:1M17_A mol:protein length:333     Epidermal Growth Factor Receptor
>PDB:1M12_A mol:protein length:84     Saposin C
>PDB:1M1S_A mol:protein-het length:116     Wr4
>PDB:1M1L_A mol:protein length:236     Suppressor Of Fused
>PDB:1H3L_A mol:protein length:87     RNA Polymerase Sigma Factor
>PDB:1H3O_A mol:protein-het length:75     Transcription Initiation Factor Tfiid 135
>PDB:1H3O_B mol:protein-het length:76     Transcription Initiation Factor Tfiid 20/
>PDB:1H34_A mol:protein-het length:83     Bowman-Birk Type Proteinase Inhibitor
>PDB:1H3F_A mol:protein length:432     Tyrosyl-tRNA Synthetase
>PDB:1H31_A mol:protein-het length:261     Diheme Cytochrome C
>PDB:1H31_B mol:protein length:138     Cytochrome C
>PDB:1H3Z_A mol:protein length:109     Hypothetical 62.8 Kda Protein C215.07C
>PDB:1H30_A mol:protein length:422     Growth-Arrest-Specific Protein
>PDB:1H3Q_A mol:protein length:140     Sedlin
>PDB:1H3G_A mol:protein-het length:601     Cyclomaltodextrinase
>PDB:1H3D_A mol:protein length:299     ATP-Phosphoribosyltransferase
>PDB:1O0V_A mol:protein length:327     Immunoglobulin Heavy Chain Epsilon-1
>PDB:1O0U_A mol:protein length:429     Glycerate Kinase
>PDB:1O0Y_A mol:protein length:260     Deoxyribose-Phosphate Aldolase
>PDB:1O0L_A mol:protein length:188     Apoptosis Regulator Bcl-W
>PDB:1O0B_A mol:protein length:554     Glutaminyl-tRNA Synthetase
>PDB:1O0W_A mol:protein length:252     Ribonuclease III
>PDB:1H0A_A mol:protein length:158     Epsin
>PDB:1H0X_A mol:protein length:100     DNA Binding Protein Sso10B
>PDB:1H0H_B mol:protein length:214     Formate Dehydrogenase (Small Subunit)
>PDB:1H0B_A mol:protein length:256     Cellulase
>PDB:1H0Z_A mol:protein length:68     Serine Protease Inhibitor Kazal-Type 5, Conta
>PDB:1M44_A mol:protein length:181     Aminoglycoside 2'-N-Acetyltransferase
>PDB:1M4Z_A mol:protein length:238     Origin Recognition Complex Subunit 1
>PDB:1M4F_A mol:protein length:25     Hepcidin
>PDB:1M4J_A mol:protein length:142     A6 Gene Product
>PDB:1M4O_A mol:protein length:179     Methionine Salvage Pathway Enzyme E-2/E-2'
>PDB:1M4N_A mol:protein length:435     1-Aminocyclopropane-1-Carboxylate Synthase
>PDB:1M4V_A mol:protein length:204     Set3, Superantigen-Like Protein
>PDB:1M4U_A mol:protein length:206     Noggin
>PDB:1M4R_A mol:protein length:151     Interleukin-22
>PDB:1M33_A mol:protein-het length:258     Bioh Protein
>PDB:1M32_A mol:protein-het length:366     2-Aminoethylphosphonate-Pyruvate Aminotr
>PDB:1M3E_A mol:protein-het length:481     Succinyl-Coa:3-Ketoacid-Coenzyme A Trans
>PDB:1M3W_A mol:protein-het length:32     H10H24
>PDB:1M39_A mol:protein length:89     Caltractin, Isoform 1
>PDB:1M3G_A mol:protein length:145     Dual Specificity Protein Phosphatase 2
>PDB:1M3C_A mol:protein length:60     Proto-Oncogene C-Crk
>PDB:1M36_A mol:protein length:33     Monocytic Leukemia Zinc Finger Protein
>PDB:1M5S_A mol:protein length:297     Formylmethanofuran--Tetrahydromethanopterin
>PDB:1M56_A mol:protein length:566     Cytochrome C Oxidase
>PDB:1M56_D mol:protein length:51     Cytochrome C Oxidase
>PDB:1M5Z_A mol:protein length:91     Ampa Receptor Interacting Protein
>PDB:1M5Y_A mol:protein length:408     Survival Protein Sura
>PDB:1M5I_A mol:protein length:125     Apc Protein
>PDB:1M5N_Q mol:protein length:28     Parathyroid Hormone-Related Protein
>PDB:1M5X_A mol:protein length:170     DNA Endonuclease I-Msoi
>PDB:1M5Q_A mol:protein-het length:130     Small Nuclear Ribonucleoprotein Homolog
>PDB:1M53_A mol:protein length:570     Isomaltulose Synthase
>PDB:1M5W_A mol:protein length:243     Pyridoxal Phosphate Biosynthetic Protein Pdx
>PDB:1M8N_A mol:protein length:121     Antifreeze Protein Isoform 501
>PDB:1M7X_A mol:protein length:617     1,4-Alpha-Glucan Branching Enzyme
>PDB:1M7N_A mol:protein length:322     Insulin-Like Growth Factor I Receptor
>PDB:1M7W_A mol:protein length:250     Hepatocyte Nuclear Factor 4-Alpha
>PDB:1M72_A mol:protein length:272     Caspase-1
>PDB:1M9U_A mol:protein length:241     Earthworm Fibrinolytic Enzyme
>PDB:1M9S_A mol:protein length:605     Internalin B
>PDB:1M98_A mol:protein length:317     Orange Carotenoid Protein
>PDB:1M9N_A mol:protein length:613     Aicar Transformylase-Imp Cyclohydrolase
>PDB:1M9L_A mol:protein length:199     Outer Arm Dynein Light Chain 1
>PDB:1M9O_A mol:protein length:77     Tristetraproline
>PDB:1M9G_A mol:protein length:97     Monellin Chain B and Monellin Chain A
>PDB:1MQS_A mol:protein-het length:671     Sly1 Protein
>PDB:1MQS_B mol:protein length:50     Integral Membrane Protein Sed5
>PDB:1MQ8_A mol:protein length:291     Intercellular Adhesion Molecule-1
>PDB:1MQB_A mol:protein length:333     Ephrin Type-A Receptor 2
>PDB:1MQ0_A mol:protein length:140     Cytidine Deaminase
>PDB:1J0T_A mol:protein length:78     Molt-Inhibiting Hormone
>PDB:1J0A_A mol:protein length:325     1-Aminocyclopropane-1-Carboxylate Deaminase
>PDB:1J0M_A mol:protein length:752     Xanthan Lyase
>PDB:1J0S_A mol:protein length:157     Interleukin-18
>PDB:1J0F_A mol:protein length:100     Sh3 Domain-Binding Glutamic Acid-Rich-Like P
>PDB:1J0W_A mol:protein-het length:103     Downstream Of Tyrosine Kinase 5
>PDB:1N0W_B mol:protein length:35     Breast Cancer Type 2 Susceptibility Protein
>PDB:1N0L_A mol:protein-het length:224     Chaperone Protein Papd
>PDB:1N02_A mol:protein length:102     Cyanovirin-N
>PDB:1N09_A mol:protein-het length:12     Bhpw, Disulfide Cyclized Beta-Hairpin Pep
>PDB:1N06_A mol:protein length:163     Putative Riboflavin Kinase
>PDB:1N0H_A mol:protein length:677     Acetolactate Synthase
>PDB:1N0Z_A mol:protein length:45     Znf265
>PDB:1N0E_A mol:protein length:166     Protein Mraz
>PDB:1N0X_P mol:protein-het length:21     B2.1 Peptide
>PDB:1N3L_A mol:protein length:372     Tyrosyl-tRNA Synthetase
>PDB:1N3K_A mol:protein length:130     Astrocytic Phosphoprotein Pea-15
>PDB:1N3Y_A mol:protein length:198     Integrin Alpha-X
>PDB:1N3G_A mol:protein length:113     Protein Yfia
>PDB:1N3J_A mol:protein length:119     Histone H3 Lysine Methyltransferase
>PDB:1O13_A mol:protein-het length:136     Probable Nifb Protein
>PDB:1O12_A mol:protein-het length:376     N-Acetylglucosamine-6-Phosphate Deacetyl
>PDB:1O1N_A mol:protein length:285     Hemoglobin Alpha Chain
>PDB:1O14_A mol:protein length:331     Possible 1-Phosphofructokinase
>PDB:1O1Y_A mol:protein-het length:239     Conserved Hypothetical Protein Tm1158
>PDB:1O1Z_A mol:protein length:234     Glycerophosphodiester Phosphodiesterase
>PDB:1O75_A mol:protein length:415     47 Kda Membrane Antigen
>PDB:1O78_A mol:protein length:84     Biotin Carboxyl Carrier Protein Of Methylmalo
>PDB:1O7F_A mol:protein length:469     Camp-Dependent Rap1 Guanine-Nucleotide Excha
>PDB:1O70_A mol:protein length:324     Fasciclin I
>PDB:1O7D_A mol:protein length:298     Lysosomal Alpha-Mannosidase
>PDB:1O7D_B mol:protein length:84     Lysosomal Alpha-Mannosidase
>PDB:1O7D_C mol:protein length:159     Lysosomal Alpha-Mannosidase
>PDB:1O7D_D mol:protein length:282     Lysosomal Alpha-Mannosidase
>PDB:1O7D_E mol:protein length:126     Lysosomal Alpha-Mannosidase
>PDB:1O7I_A mol:protein length:119     Single Stranded DNA Binding Protein
>PDB:1O7A_A mol:protein length:515     Beta-Hexosaminidase Beta Chain
>PDB:1O7B_T mol:protein length:98     Tumor Necrosis Factor-Inducible Protein Tsg-6
>PDB:1O7E_A mol:protein length:276     L2 Beta Lactamase
>PDB:1N4K_A mol:protein length:381     Inositol 1,4,5-Trisphosphate Receptor Type 1
>PDB:1N4M_A mol:protein length:345     Retinoblastoma Pocket
>PDB:1N40_A mol:protein length:396     Cytochrome P450 121
>PDB:1N4A_A mol:protein-het length:252     Vitamin B12 Transport Protein Btuf
>PDB:1N4T_A mol:protein length:219     2',3'-Cyclic Nucleotide 3'-Phosphodiesterase
>PDB:1N4C_A mol:protein length:182     Auxilin
>PDB:1N4P_B mol:protein length:377     Geranyltransferase Type-I Beta Subunit
>PDB:1O6E_A mol:protein length:235     Capsid Protein P40
>PDB:1O6W_A mol:protein length:75     Pre-Mrna Processing Protein Prp40
>PDB:1O6S_A mol:protein length:466     Internalin A
>PDB:1O6O_D mol:protein length:119     Nucleoporin Nsp1
>PDB:1O60_A mol:protein-het length:292     2-Dehydro-3-Deoxyphosphooctonate Aldolas
>PDB:1O61_A mol:protein length:394     Aminotransferase
>PDB:1O63_A mol:protein-het length:219     ATP Phosphoribosyltransferase
>PDB:1O65_A mol:protein length:246     Hypothetical Protein Yiim
>PDB:1O6A_A mol:protein-het length:96     Putative Flagelar Motor Switch Protein Fl
>PDB:1O6C_A mol:protein-het length:388     Udp-N-Acetylglucosamine 2-Epimerase
>PDB:1O6D_A mol:protein length:163     Hypothetical Upf0247 Protein Tm0844
>PDB:1N6C_A mol:protein length:297     Set Domain-Containing Protein 7
>PDB:1N6D_A mol:protein length:1071     Tricorn Protease
>PDB:1N6E_B mol:protein length:13     Dqtqkaaaeltff
>PDB:1N69_A mol:protein length:81     Saposin B
>PDB:1N67_A mol:protein length:359     Clumping Factor
>PDB:1N6Z_A mol:protein length:105     Hypothetical 12.3 Kda Protein In Zds2-Ura5 I
>PDB:1N6U_A mol:protein length:212     Interferon-Alpha/Beta Receptor Beta Chain
>PDB:1N6J_A mol:protein length:93     Myocyte-Specific Enhancer Factor 2B
>PDB:1N6J_G mol:protein length:35     Calcineurin-Binding Protein Cabin 1
>PDB:1N8W_A mol:protein length:741     Probable Malate Synthase G
>PDB:1N87_A mol:protein length:56     Pre-Mrna Splicing Factor Prp19
>PDB:1N81_A mol:protein length:186     Plasmodium Falciparum Gamete Antigen 27/25
>PDB:1N88_A mol:protein length:96     Ribosomal Protein L23
>PDB:1N8L_A mol:protein length:89     Fatty Acid Synthase
>PDB:1N82_A mol:protein length:331     Intra-Cellular Xylanase
>PDB:1N7G_A mol:protein length:381     GDP-D-Mannose-4,6-Dehydratase
>PDB:1N7D_A mol:protein length:699     Low-Density Lipoprotein Receptor
>PDB:1N7T_A mol:protein length:103     99-Mer Peptide Of Densin-180-Like Protein
>PDB:1N7K_A mol:protein length:234     Deoxyribose-Phosphate Aldolase
>PDB:1N7V_A mol:protein length:555     Adsorption Protein P2
>PDB:1N7E_A mol:protein length:97     Ampa Receptor Interacting Protein Grip
>PDB:1N7L_A mol:protein length:53     Cardiac Phospholamban
>PDB:1J1V_A mol:protein-het length:94     Chromosomal Replication Initiator Protein
>PDB:1J19_B mol:protein length:16     16-Mer Peptide From Intercellular Adhesion Mo
>PDB:1J1D_B mol:protein length:106     Troponin T
>PDB:1J1I_A mol:protein length:296     Meta Cleavage Compound Hydrolase
>PDB:1J1E_C mol:protein length:180     Troponin I
>PDB:1J1J_A mol:protein length:240     Translin
>PDB:1J1L_A mol:protein-het length:290     Pirin
>PDB:1J1T_A mol:protein length:233     Alginate Lyase
>PDB:1O8V_A mol:protein-het length:134     Fatty Acid Binding Protein Homolog
>PDB:1O8R_A mol:protein length:94     Guanylin
>PDB:1O89_A mol:protein length:345     Yhdh
>PDB:1O94_C mol:protein length:264     Electron Transfer Flavoprotein Beta-Subunit
>PDB:1O94_D mol:protein length:320     Electron Transfer Flavoprotein Alpha-Subunit
>PDB:1O9C_A mol:protein length:260     14-3-3-Like Protein C
>PDB:1O9A_B mol:protein length:36     Fibronectin Binding Protein
>PDB:1O9G_A mol:protein-het length:250     Rrna Methyltransferase
>PDB:1O91_A mol:protein length:178     Collagen Alpha 1(Viii) Chain
>PDB:1O9Y_A mol:protein length:84     Hrcq2
>PDB:1J2Y_A mol:protein length:167     3-Dehydroquinate Dehydratase
>PDB:1J22_A mol:protein length:143     ATP-Dependent RNA Helicase, Putative
>PDB:1J2M_A mol:protein length:99     17-Kda Pkc-Potentiated Inhibitory Protein Of
>PDB:1J2F_A mol:protein length:258     Interferon Regulatory Factor 3
>PDB:1J27_A mol:protein length:102     Hypothetical Protein Tt1725
>PDB:1J2E_A mol:protein length:740     Dipeptidyl Peptidase IV
>PDB:1J2R_A mol:protein length:199     Hypothetical Isochorismatase Family Protein
>PDB:1J2T_A mol:protein length:260     Creatinine Amidohydrolase
>PDB:1J2Z_A mol:protein length:270     Acyl-[Acyl-Carrier-Protein]--Udp-N- Acetylgl
>PDB:1J26_A mol:protein length:112     Immature Colon Carcinoma Transcript 1
>PDB:1J2G_A mol:protein length:319     Uricase
>PDB:1J33_A mol:protein length:335     Cobt
>PDB:1J3I_A mol:protein length:280     Bifunctional Dihydrofolate Reductase-Thymidy
>PDB:1J3G_A mol:protein length:187     Ampd Protein
>PDB:1J36_A mol:protein length:607     Angiotensin Converting Enzyme
>PDB:1J30_A mol:protein length:144     144Aa Long Hypothetical Rubrerythrin
>PDB:1J3P_A mol:protein length:190     Phosphoglucose Isomerase
>PDB:1J31_A mol:protein-het length:262     Hypothetical Protein pH0642
>PDB:1J3W_A mol:protein length:163     Giding Protein-Mglb
>PDB:1J3M_A mol:protein length:129     The Conserved Hypothetical Protein Tt1751
>PDB:1NVT_A mol:protein length:287     Shikimate 5'-Dehydrogenase
>PDB:1NV8_A mol:protein length:284     Hemk Protein
>PDB:1NVP_B mol:protein length:57     Transcription Initiation Factor Iia Alpha Cha
>PDB:1NVP_D mol:protein length:108     Transcription Initiation Factor Iia Gamma Ch
>PDB:1NVM_A mol:protein length:345     4-Hydroxy-2-Oxovalerate Aldolase
>PDB:1NVM_B mol:protein length:312     Acetaldehyde Dehydrogenase (Acylating)
>PDB:1O22_A mol:protein-het length:170     Orphan Protein Tm0875
>PDB:1OOH_A mol:protein length:126     Odorant Binding Protein Lush
>PDB:1OQ4_A mol:protein length:363     Acyl-[Acyl-Carrier Protein] Desaturase
>PDB:1OQC_A mol:protein length:125     Augmenter Of Liver Regeneration
>PDB:1OQV_A mol:protein length:192     Toxin-Coregulated Pilus Subunit
>PDB:1OQW_A mol:protein length:144     Fimbrial Protein
>PDB:1OQP_B mol:protein length:19     Cell Division Control Protein Kar1
>PDB:1OQ1_A mol:protein-het length:223     Protein Yesu
